,VoltageP1,VoltageP2,TimeIndex
0,0.0,0.0,1772664444.5107534
1,143.69,0.7084999999999999,1772664444.613378
2,0.45949999999999996,0.611,1772664444.7151132
3,0.5475,0.9189999999999999,1772664444.8185961
4,0.6205,61.8035,1772664444.9244483
5,0.6255,0.4055,1772664445.0276544
6,0.5720000000000001,0.5865,1772664445.129441
7,0.11249999999999999,143.265,1772664445.2321074
8,143.265,0.298,1772664445.3347495
9,143.265,1.1195,1772664445.4370048
10,0.1565,1.8135000000000001,1772664445.538607
11,0.5325,2.004,1772664445.640808
12,0.5375,71.163,1772664445.7443924
13,0.4935,140.2395,1772664445.846408
14,0.5375,1.8815000000000002,1772664445.9483902
15,0.65,1.7255,1772664446.0505397
16,0.0,1.427,1772664446.1538892
17,143.6755,1.227,1772664446.2567616
18,0.567,0.9385,1772664446.3583622
19,0.5815,0.3175,1772664446.4598212
20,0.5525,140.1465,1772664446.5632474
21,0.5375,1.9255,1772664446.6657429
22,0.3325,2.097,1772664446.767745
23,0.0,1.525,1772664446.869546
24,143.265,1.481,1772664446.9730582
25,0.513,1.095,1772664447.0752163
26,0.518,140.1415,1772664447.1759539
27,0.523,0.963,1772664447.2771287
28,0.5085,140.1415,1772664447.3797734
29,0.528,1.4124999999999999,1772664447.480884
30,0.5085,1.0605,1772664447.5828457
31,0.0,1.0215,1772664447.6852422
32,44.912,1.002,1772664447.7883165
33,0.313,0.958,1772664447.8905966
34,0.4985,0.8405,1772664447.9931216
35,0.45949999999999996,0.469,1772664448.095309
36,0.014499999999999999,0.0,1772664448.2015815
37,1.1195,0.5085,1772664448.3043547
38,0.469,0.5569999999999999,1772664448.4062796
39,0.479,0.5915,1772664448.5081573
40,0.5035,0.137,1772664448.6109266
41,0.5085,0.513,1772664448.7142036
42,0.5035,140.39600000000002,1772664448.8167796
43,0.4935,0.4935,1772664448.9179194
44,0.479,0.6845,1772664449.0200574
45,0.45449999999999996,64.90700000000001,1772664449.1241589
46,143.7535,0.5475,1772664449.2253962
47,0.4985,4.3305,1772664449.3279164
48,0.489,3.2795,1772664449.4290042
