,VoltageP1,VoltageP2,TimeIndex
0,0.0,0.0,1772668162.5233934
1,0.0,1.0215,1772668162.6261513
2,0.0,1.0215,1772668162.7283309
3,0.0,1.0315,1772668162.8304932
4,0.0,1.0165,1772668162.9328563
5,0.0,1.0215,1772668163.0349245
6,0.0,1.0265,1772668163.1381192
7,0.0,1.0215,1772668163.2399368
8,0.0,140.5325,1772668163.3426387
9,0.0,140.5325,1772668163.443923
10,3.744,1.0215,1772668163.5467467
11,4.218,1.0265,1772668163.6495407
12,4.223,1.0165,1772668163.7522712
13,4.218,1.0165,1772668163.8534312
14,51.1435,1.0215,1772668163.9570863
15,2.8005000000000004,1.0115,1772668164.0592623
16,1.481,0.9825,1772668164.1611958
17,4.218,1.0215,1772668164.2641644
18,4.223,140.567,1772668164.3677347
19,4.223,1.3980000000000001,1772668164.469019
20,3.9835,1.3685,1772668164.5706854
21,4.218,1.2559999999999998,1772668164.6732676
22,4.218,1.1875,1772668164.776474
23,4.218,0.0,1772668164.8784473
24,4.218,0.0,1772668164.980807
25,4.218,0.0,1772668165.0837004
26,2.6395,140.137,1772668165.1856565
27,143.5335,1.207,1772668165.28911
28,0.8845000000000001,1.183,1772668165.389942
29,0.2445,1.163,1772668165.4925263
30,1.1195,0.2395,1772668165.595216
31,0.0,0.0,1772668165.697703
32,0.0,0.171,1772668165.7997882
33,0.0,0.6940000000000001,1772668165.902744
34,0.0,1.2415,1772668166.0037565
35,1.7449999999999999,1.1975,1772668166.1077898
36,0.0,1.08,1772668166.2089152
37,0.0,0.381,1772668166.3124375
38,0.0,0.0,1772668166.4138033
39,0.0,140.2445,1772668166.5167923
40,0.0,0.8455,1772668166.61889
41,0.0,1.4074999999999998,1772668166.7202828
42,0.0,1.2805,1772668166.8239412
43,143.265,1.212,1772668166.9247985
44,0.0,0.1855,1772668167.0287206
45,0.0,0.20049999999999998,1772668167.1312604
46,0.0,0.0,1772668167.2322595
47,0.0,0.9039999999999999,1772668167.3353004
48,0.0,140.6405,1772668167.4385128
49,143.265,1.139,1772668167.5399125
50,0.0,0.484,1772668167.6426733
51,0.0,0.1565,1772668167.7435389
52,1.1195,0.0,1772668167.844374
53,0.0,0.0,1772668167.9458094
54,0.0,1.1435,1772668168.0475194
55,0.0,0.513,1772668168.1508675
56,0.0,1.1435,1772668168.2533631
57,0.0,1.134,1772668168.3556583
58,0.0,1.134,1772668168.4565
59,0.0,1.1484999999999999,1772668168.5575788
60,0.0,0.5425,1772668168.6584082
61,0.0,1.1925,1772668168.760806
62,0.0,1.1484999999999999,1772668168.8632975
63,0.0,1.095,1772668168.966846
64,0.8799999999999999,0.65,1772668169.0684984
65,0.0,1.1045,1772668169.170233
66,0.0,1.095,1772668169.273643
67,0.0,1.1435,1772668169.375842
68,0.0,140.1415,1772668169.478077
69,0.0,1.095,1772668169.5798874
70,0.0,1.095,1772668169.682348
71,0.0,1.09,1772668169.7849238
72,0.0,1.09,1772668169.887587
73,0.0,1.09,1772668169.9894567
74,0.0,140.601,1772668170.0924902
75,0.0,1.0705,1772668170.1948667
76,0.0,143.27,1772668170.2972074
77,0.0,1.0655000000000001,1772668170.3996255
78,0.0,1.0705,1772668170.5025046
79,0.0,1.0705,1772668170.6036716
80,1.7449999999999999,1.0655000000000001,1772668170.7071757
81,0.0,1.0655000000000001,1772668170.8088586
82,0.0,1.0655000000000001,1772668170.911533
83,1.7399999999999998,1.041,1772668171.0134997
84,1.1435,1.051,1772668171.1162004
85,0.8995,140.562,1772668171.2181478
86,143.426,1.046,1772668171.3212085
87,0.6695,140.557,1772668171.423541
